[2026-05-30 03:58:53 UTC] CPU: 4.6% | RAM: 0/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:02 UTC] CPU: 0.5% | RAM: 6,421/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:07 UTC] CPU: 1.3% | RAM: 6,419/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:13 UTC] CPU: 0.3% | RAM: 6,422/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:19 UTC] CPU: 1.8% | RAM: 6,430/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:25 UTC] CPU: 0.8% | RAM: 6,430/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:30 UTC] CPU: 0.0% | RAM: 6,431/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:36 UTC] CPU: 0.5% | RAM: 6,435/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:42 UTC] CPU: 0.5% | RAM: 6,439/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:47 UTC] CPU: 1.3% | RAM: 6,452/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:53 UTC] CPU: 0.3% | RAM: 6,454/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:23:59 UTC] CPU: 0.0% | RAM: 6,453/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:24:04 UTC] CPU: 0.8% | RAM: 6,526/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:24:10 UTC] CPU: 1.3% | RAM: 6,681/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:24:16 UTC] CPU: 0.3% | RAM: 6,732/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:24:22 UTC] CPU: 0.3% | RAM: 6,740/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:24:27 UTC] CPU: 0.5% | RAM: 6,737/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:24:33 UTC] CPU: 0.3% | RAM: 6,718/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:24:39 UTC] CPU: 0.0% | RAM: 6,721/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:24:44 UTC] CPU: 1.8% | RAM: 6,721/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:24:50 UTC] CPU: 0.0% | RAM: 6,721/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:24:56 UTC] CPU: 0.0% | RAM: 6,723/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:01 UTC] CPU: 0.3% | RAM: 6,696/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:07 UTC] CPU: 0.0% | RAM: 6,693/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:13 UTC] CPU: 0.3% | RAM: 6,694/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:18 UTC] CPU: 0.5% | RAM: 6,697/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:24 UTC] CPU: 1.0% | RAM: 6,699/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:30 UTC] CPU: 0.0% | RAM: 6,702/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:36 UTC] CPU: 0.0% | RAM: 6,704/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:41 UTC] CPU: 0.0% | RAM: 6,707/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:47 UTC] CPU: 1.3% | RAM: 6,709/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:53 UTC] CPU: 0.0% | RAM: 6,712/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:25:58 UTC] CPU: 0.3% | RAM: 6,714/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:04 UTC] CPU: 0.3% | RAM: 6,714/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:10 UTC] CPU: 0.0% | RAM: 6,717/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:16 UTC] CPU: 18.1% | RAM: 6,714/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:21 UTC] CPU: 0.3% | RAM: 6,716/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:27 UTC] CPU: 0.3% | RAM: 6,715/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:33 UTC] CPU: 0.3% | RAM: 6,717/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:38 UTC] CPU: 0.0% | RAM: 6,717/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:44 UTC] CPU: 0.0% | RAM: 6,717/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:50 UTC] CPU: 0.3% | RAM: 6,660/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:26:55 UTC] CPU: 0.8% | RAM: 6,697/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:01 UTC] CPU: 0.8% | RAM: 6,952/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:07 UTC] CPU: 0.8% | RAM: 6,922/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:12 UTC] CPU: 0.3% | RAM: 6,926/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:18 UTC] CPU: 0.5% | RAM: 6,932/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:24 UTC] CPU: 0.0% | RAM: 6,936/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:30 UTC] CPU: 0.0% | RAM: 6,941/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:35 UTC] CPU: 0.5% | RAM: 6,944/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:41 UTC] CPU: 0.8% | RAM: 6,961/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:47 UTC] CPU: 0.3% | RAM: 6,962/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:52 UTC] CPU: 0.0% | RAM: 6,965/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:27:58 UTC] CPU: 0.0% | RAM: 6,963/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:04 UTC] CPU: 0.3% | RAM: 6,984/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:10 UTC] CPU: 0.0% | RAM: 6,989/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:15 UTC] CPU: 0.0% | RAM: 6,993/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:21 UTC] CPU: 0.5% | RAM: 6,995/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:27 UTC] CPU: 0.8% | RAM: 6,995/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:32 UTC] CPU: 0.0% | RAM: 6,989/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:38 UTC] CPU: 2.3% | RAM: 6,988/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:44 UTC] CPU: 0.8% | RAM: 6,989/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:49 UTC] CPU: 0.3% | RAM: 6,987/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:28:55 UTC] CPU: 0.0% | RAM: 6,987/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:01 UTC] CPU: 0.0% | RAM: 6,988/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:07 UTC] CPU: 0.3% | RAM: 6,988/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:12 UTC] CPU: 1.0% | RAM: 7,015/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:18 UTC] CPU: 0.0% | RAM: 7,033/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:24 UTC] CPU: 0.3% | RAM: 7,038/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:29 UTC] CPU: 0.3% | RAM: 7,040/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:35 UTC] CPU: 0.0% | RAM: 7,041/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:41 UTC] CPU: 0.5% | RAM: 7,043/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:47 UTC] CPU: 1.0% | RAM: 7,044/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:52 UTC] CPU: 0.8% | RAM: 7,045/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:29:58 UTC] CPU: 1.6% | RAM: 7,047/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:04 UTC] CPU: 1.0% | RAM: 7,049/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:09 UTC] CPU: 2.1% | RAM: 7,053/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:15 UTC] CPU: 1.0% | RAM: 7,049/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:21 UTC] CPU: 0.8% | RAM: 7,053/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:27 UTC] CPU: 0.5% | RAM: 6,878/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:32 UTC] CPU: 0.0% | RAM: 6,908/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:38 UTC] CPU: 0.3% | RAM: 6,910/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:44 UTC] CPU: 0.3% | RAM: 6,907/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:49 UTC] CPU: 0.5% | RAM: 6,909/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:30:55 UTC] CPU: 0.0% | RAM: 6,911/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:01 UTC] CPU: 0.0% | RAM: 6,910/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:07 UTC] CPU: 0.5% | RAM: 6,912/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:12 UTC] CPU: 0.5% | RAM: 6,945/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:18 UTC] CPU: 0.5% | RAM: 6,747/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:24 UTC] CPU: 0.3% | RAM: 6,757/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:29 UTC] CPU: 0.3% | RAM: 6,752/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:35 UTC] CPU: 0.5% | RAM: 6,752/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:41 UTC] CPU: 0.5% | RAM: 6,751/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:46 UTC] CPU: 1.6% | RAM: 6,753/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:52 UTC] CPU: 0.8% | RAM: 6,659/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:31:58 UTC] CPU: 0.3% | RAM: 6,660/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:04 UTC] CPU: 0.0% | RAM: 6,770/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:09 UTC] CPU: 1.8% | RAM: 6,771/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:15 UTC] CPU: 0.5% | RAM: 6,767/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:21 UTC] CPU: 0.8% | RAM: 6,767/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:26 UTC] CPU: 1.8% | RAM: 6,766/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:32 UTC] CPU: 0.5% | RAM: 6,760/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:38 UTC] CPU: 1.6% | RAM: 6,922/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:44 UTC] CPU: 0.8% | RAM: 6,740/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:49 UTC] CPU: 0.5% | RAM: 6,756/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:32:55 UTC] CPU: 0.5% | RAM: 6,756/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:01 UTC] CPU: 0.5% | RAM: 6,771/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:06 UTC] CPU: 0.8% | RAM: 6,772/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:12 UTC] CPU: 0.3% | RAM: 6,773/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:18 UTC] CPU: 0.3% | RAM: 6,772/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:23 UTC] CPU: 0.5% | RAM: 6,770/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:29 UTC] CPU: 0.3% | RAM: 6,766/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:35 UTC] CPU: 0.5% | RAM: 6,767/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:41 UTC] CPU: 0.5% | RAM: 6,770/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:46 UTC] CPU: 0.5% | RAM: 6,770/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:52 UTC] CPU: 0.3% | RAM: 6,771/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:33:58 UTC] CPU: 0.0% | RAM: 6,771/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:03 UTC] CPU: 0.0% | RAM: 6,777/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:09 UTC] CPU: 0.0% | RAM: 6,781/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:15 UTC] CPU: 0.0% | RAM: 6,781/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:20 UTC] CPU: 0.0% | RAM: 6,794/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:26 UTC] CPU: 0.3% | RAM: 6,786/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:32 UTC] CPU: 1.3% | RAM: 6,787/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:37 UTC] CPU: 0.3% | RAM: 6,789/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:43 UTC] CPU: 2.3% | RAM: 6,794/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:49 UTC] CPU: 0.0% | RAM: 6,805/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:34:55 UTC] CPU: 1.8% | RAM: 6,822/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:00 UTC] CPU: 0.5% | RAM: 6,821/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:06 UTC] CPU: 0.5% | RAM: 6,817/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:12 UTC] CPU: 0.0% | RAM: 6,818/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:17 UTC] CPU: 0.5% | RAM: 6,816/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:23 UTC] CPU: 0.3% | RAM: 6,819/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:29 UTC] CPU: 1.5% | RAM: 6,818/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:34 UTC] CPU: 0.0% | RAM: 6,829/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:40 UTC] CPU: 0.0% | RAM: 6,836/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:46 UTC] CPU: 2.3% | RAM: 6,827/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:52 UTC] CPU: 0.0% | RAM: 6,829/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:35:57 UTC] CPU: 2.1% | RAM: 6,827/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:03 UTC] CPU: 0.5% | RAM: 6,828/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:09 UTC] CPU: 1.6% | RAM: 6,826/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:14 UTC] CPU: 0.5% | RAM: 6,923/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:20 UTC] CPU: 0.0% | RAM: 6,926/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:26 UTC] CPU: 0.0% | RAM: 6,930/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:31 UTC] CPU: 0.8% | RAM: 6,929/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:37 UTC] CPU: 0.5% | RAM: 6,930/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:43 UTC] CPU: 0.3% | RAM: 6,936/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:48 UTC] CPU: 0.0% | RAM: 6,932/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:36:54 UTC] CPU: 0.3% | RAM: 6,536/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:00 UTC] CPU: 0.3% | RAM: 6,538/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:06 UTC] CPU: 0.5% | RAM: 6,543/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:11 UTC] CPU: 0.8% | RAM: 6,545/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:17 UTC] CPU: 1.3% | RAM: 6,546/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:23 UTC] CPU: 0.5% | RAM: 6,549/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:28 UTC] CPU: 0.3% | RAM: 6,549/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:34 UTC] CPU: 1.3% | RAM: 6,550/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:40 UTC] CPU: 0.5% | RAM: 6,550/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:45 UTC] CPU: 0.5% | RAM: 6,552/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:51 UTC] CPU: 0.0% | RAM: 6,561/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:37:57 UTC] CPU: 1.0% | RAM: 6,573/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:03 UTC] CPU: 2.3% | RAM: 6,586/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:08 UTC] CPU: 15.6% | RAM: 6,641/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:14 UTC] CPU: 0.8% | RAM: 6,622/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:20 UTC] CPU: 21.0% | RAM: 6,623/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:25 UTC] CPU: 0.3% | RAM: 6,622/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:31 UTC] CPU: 0.3% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:37 UTC] CPU: 0.0% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:42 UTC] CPU: 0.5% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:48 UTC] CPU: 0.3% | RAM: 6,626/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:38:54 UTC] CPU: 0.8% | RAM: 6,622/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:00 UTC] CPU: 0.3% | RAM: 6,621/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:05 UTC] CPU: 1.0% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:11 UTC] CPU: 0.0% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:17 UTC] CPU: 0.3% | RAM: 6,626/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:22 UTC] CPU: 0.5% | RAM: 6,626/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:28 UTC] CPU: 0.3% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:34 UTC] CPU: 0.0% | RAM: 6,626/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:39 UTC] CPU: 0.5% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:45 UTC] CPU: 0.0% | RAM: 6,627/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:51 UTC] CPU: 0.3% | RAM: 6,627/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:39:56 UTC] CPU: 0.3% | RAM: 6,628/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:02 UTC] CPU: 0.5% | RAM: 6,631/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:08 UTC] CPU: 0.5% | RAM: 6,630/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:14 UTC] CPU: 0.8% | RAM: 6,631/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:19 UTC] CPU: 0.5% | RAM: 6,632/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:25 UTC] CPU: 0.0% | RAM: 6,632/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:31 UTC] CPU: 0.5% | RAM: 6,624/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:36 UTC] CPU: 0.0% | RAM: 6,625/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:42 UTC] CPU: 0.0% | RAM: 6,626/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:48 UTC] CPU: 0.8% | RAM: 6,626/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:53 UTC] CPU: 0.8% | RAM: 6,626/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:40:59 UTC] CPU: 0.3% | RAM: 6,628/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:05 UTC] CPU: 1.3% | RAM: 6,770/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:10 UTC] CPU: 0.8% | RAM: 6,766/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:16 UTC] CPU: 0.5% | RAM: 6,766/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:22 UTC] CPU: 0.0% | RAM: 6,832/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:28 UTC] CPU: 0.0% | RAM: 6,832/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:33 UTC] CPU: 2.3% | RAM: 6,824/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:39 UTC] CPU: 0.0% | RAM: 6,797/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:45 UTC] CPU: 0.0% | RAM: 6,805/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:50 UTC] CPU: 0.0% | RAM: 6,790/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:41:56 UTC] CPU: 0.8% | RAM: 6,689/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:02 UTC] CPU: 0.0% | RAM: 6,601/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:07 UTC] CPU: 0.3% | RAM: 6,603/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:13 UTC] CPU: 0.5% | RAM: 6,605/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:19 UTC] CPU: 0.3% | RAM: 6,605/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:25 UTC] CPU: 0.0% | RAM: 6,597/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:30 UTC] CPU: 0.0% | RAM: 6,598/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:36 UTC] CPU: 0.5% | RAM: 6,596/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:42 UTC] CPU: 0.8% | RAM: 6,594/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:47 UTC] CPU: 1.6% | RAM: 6,602/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:53 UTC] CPU: 0.5% | RAM: 6,603/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:42:59 UTC] CPU: 0.3% | RAM: 6,618/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:04 UTC] CPU: 0.3% | RAM: 6,620/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:10 UTC] CPU: 0.3% | RAM: 6,622/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:16 UTC] CPU: 0.0% | RAM: 6,622/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:21 UTC] CPU: 0.3% | RAM: 6,618/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:27 UTC] CPU: 0.5% | RAM: 6,692/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:33 UTC] CPU: 1.0% | RAM: 6,716/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:39 UTC] CPU: 1.0% | RAM: 6,790/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:44 UTC] CPU: 1.8% | RAM: 6,799/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:50 UTC] CPU: 0.5% | RAM: 6,808/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:43:56 UTC] CPU: 1.3% | RAM: 6,811/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:01 UTC] CPU: 2.1% | RAM: 6,814/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:07 UTC] CPU: 0.8% | RAM: 6,837/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:13 UTC] CPU: 0.5% | RAM: 6,839/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:19 UTC] CPU: 3.1% | RAM: 6,897/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:24 UTC] CPU: 2.0% | RAM: 6,909/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:30 UTC] CPU: 2.8% | RAM: 6,912/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:36 UTC] CPU: 1.0% | RAM: 6,911/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:42 UTC] CPU: 0.5% | RAM: 6,911/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:47 UTC] CPU: 3.1% | RAM: 6,917/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:53 UTC] CPU: 0.3% | RAM: 6,914/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:44:59 UTC] CPU: 0.0% | RAM: 6,916/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:04 UTC] CPU: 1.0% | RAM: 6,941/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:10 UTC] CPU: 1.0% | RAM: 6,938/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:16 UTC] CPU: 0.8% | RAM: 6,955/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:22 UTC] CPU: 31.3% | RAM: 6,988/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:27 UTC] CPU: 3.6% | RAM: 6,998/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:33 UTC] CPU: 2.1% | RAM: 6,994/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:39 UTC] CPU: 0.3% | RAM: 6,996/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:44 UTC] CPU: 2.0% | RAM: 6,968/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:50 UTC] CPU: 0.8% | RAM: 6,918/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:45:56 UTC] CPU: 0.8% | RAM: 6,919/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:46:01 UTC] CPU: 0.3% | RAM: 6,895/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:46:07 UTC] CPU: 0.3% | RAM: 6,890/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:46:13 UTC] CPU: 1.8% | RAM: 6,899/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:46:19 UTC] CPU: 0.0% | RAM: 6,904/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:46:24 UTC] CPU: 0.8% | RAM: 6,904/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:46:30 UTC] CPU: 0.0% | RAM: 6,905/7,488 MB | Disk: 164/475 GB
[2026-05-30 04:46:36 UTC] CPU: 0.0% | RAM: 6,755/7,488 MB | Disk: 164/475 GB
